ts,symbol,side,reason,qty,price,commission,realized_pnl,equity_after,cash_after,pos_after
2018-03-15 00:00:00+00:00,AAPL,buy,signal,5460.0,42.04,229.5384,0.0,999823.3286898438,770232.0616,5460.0
2018-03-23 00:00:00+00:00,AAPL,sell,stop,5460.0,39.61,216.2706,-13484.0706,986286.3910000001,986286.3910000001,0.0
2018-03-27 00:00:00+00:00,AAPL,buy,signal,10703.0,40.9,437.7527,0.0,972180.5516003235,548095.9383,10703.0
2018-04-03 00:00:00+00:00,AAPL,sell,stop,10703.0,39.44,422.12631999999996,-16048.506320000008,969800.1319800001,969800.1319800001,0.0
2018-04-16 00:00:00+00:00,AAPL,buy,signal,8031.0,41.22,331.03782,0.0,970782.7072425806,638431.27416,8031.0
2018-04-24 00:00:00+00:00,AAPL,sell,stop,8031.0,38.98,313.04837999999995,-18302.488380000017,951166.60578,951166.60578,0.0
2018-05-09 00:00:00+00:00,AAPL,buy,signal,3179.0,43.93,139.65347,0.0,951566.6862246423,811373.48231,3179.0
2018-06-20 00:00:00+00:00,AAPL,sell,stop,3179.0,44.01,139.90779,114.41220999999459,951141.3645200001,951141.3645200001,0.0
2018-06-29 00:00:00+00:00,AAPL,buy,signal,16878.0,44.04,743.30712,0.0,945304.489417212,207090.93740000005,16878.0
2018-10-12 00:00:00+00:00,AAPL,sell,stop,16878.0,52.24,881.7067200000001,137517.89328000005,1087915.9506800002,1087915.9506800002,0.0
2018-10-15 00:00:00+00:00,AAPL,buy,signal,9373.0,52.47,491.80131,0.0,1078692.608336675,595622.8393700002,9373.0
2018-10-30 00:00:00+00:00,AAPL,sell,stop,9373.0,50.04,469.02492,-23245.414919999996,1064178.73445,1064178.73445,0.0
2019-02-07 00:00:00+00:00,AAPL,buy,signal,3575.0,41.04,146.718,0.0,1062720.5654268982,917314.0164500001,3575.0
2019-05-13 00:00:00+00:00,AAPL,sell,stop,3575.0,45.01,160.91075,14031.839249999997,1078063.8557000002,1078063.8557000002,0.0
2019-05-15 00:00:00+00:00,AAPL,buy,signal,15470.0,44.7,691.509,0.0,1094353.572797107,385863.3467000002,15470.0
2019-05-21 00:00:00+00:00,AAPL,sell,stop,15470.0,44.41,687.0227,-5173.322700000097,1072199.0240000002,1072199.0240000002,0.0
2019-06-21 00:00:00+00:00,AAPL,buy,signal,3062.0,47.71,146.08802,0.0,1071970.69005074,925964.9159800003,3062.0
2019-08-06 00:00:00+00:00,AAPL,sell,stop,3062.0,47.07,144.12834,-2103.80833999998,1069949.1276400003,1069949.1276400003,0.0
2019-08-07 00:00:00+00:00,AAPL,buy,signal,20182.0,46.9,946.5358,0.0,1086066.5997165875,122466.79184000043,20182.0
2020-02-25 00:00:00+00:00,AAPL,sell,stop,20182.0,72.82,1469.6532399999999,521647.7867599999,1590650.3786000004,1590650.3786000004,0.0
2020-02-27 00:00:00+00:00,AAPL,buy,signal,20155.0,68.08,1372.1524,0.0,1551698.6111578862,217125.82620000048,20155.0
2020-02-28 00:00:00+00:00,AAPL,sell,stop,20155.0,62.25,1254.64875,-118758.29874999996,1470519.9274500005,1470519.9274500005,0.0
2020-04-23 00:00:00+00:00,AAPL,buy,signal,3099.0,66.82,207.07518,0.0,1469572.3371030693,1263237.6722700004,3099.0
2020-09-14 00:00:00+00:00,AAPL,sell,stop,3099.0,111.53,345.63147000000004,138210.65853000004,1608523.5108000005,1608523.5108000005,0.0
2020-09-15 00:00:00+00:00,AAPL,buy,signal,6170.0,115.16,710.5372,0.0,1590708.6539253178,897275.7736000005,6170.0
2020-09-18 00:00:00+00:00,AAPL,sell,stop,6170.0,107.33,662.2261,-48973.32609999999,1558839.6475000004,1558839.6475000004,0.0
2020-09-22 00:00:00+00:00,AAPL,buy,signal,4591.0,109.66,503.44906000000003,0.0,1554202.2767075174,1054887.1384400004,4591.0
2020-10-29 00:00:00+00:00,AAPL,sell,stop,4591.0,109.25,501.56675,-2383.8767499999844,1555952.3216900004,1555952.3216900004,0.0
2020-11-13 00:00:00+00:00,AAPL,buy,signal,2644.0,116.44,307.86736,0.0,1555026.972046065,1247777.0943300005,2644.0
2021-02-19 00:00:00+00:00,AAPL,sell,stop,2644.0,127.03,335.86732,27664.09268000001,1583308.5470100003,1583308.5470100003,0.0
2021-04-14 00:00:00+00:00,AAPL,buy,signal,2084.0,131.75,274.567,0.0,1576973.189299551,1308466.9800100003,2084.0
2021-05-12 00:00:00+00:00,AAPL,sell,stop,2084.0,120.56,251.24704000000003,-23571.207039999994,1559462.7729700003,1559462.7729700003,0.0
2021-05-14 00:00:00+00:00,AAPL,buy,signal,11730.0,123.47,1448.3031,0.0,1571076.852963262,109711.36987000029,11730.0
2021-09-21 00:00:00+00:00,AAPL,sell,stop,11730.0,140.83,1651.9359000000002,201980.86409999998,1759995.3339700005,1759995.3339700005,0.0
2021-10-28 00:00:00+00:00,AAPL,buy,signal,3398.0,146.74,498.62252,0.0,1768406.6287363775,1260874.1914500005,3398.0
2022-01-20 00:00:00+00:00,AAPL,sell,stop,3398.0,163.63,556.01474,56836.20525999995,1816332.9167100005,1816332.9167100005,0.0
2022-01-25 00:00:00+00:00,AAPL,buy,signal,5354.0,155.94,834.9027600000001,0.0,1819292.8673228032,980595.2539500005,5354.0
2022-02-25 00:00:00+00:00,AAPL,sell,stop,5354.0,160.75,860.6555000000001,24892.08450000001,1840390.0984500004,1840390.0984500004,0.0
2022-03-29 00:00:00+00:00,AAPL,buy,signal,1470.0,173.53,255.0891,0.0,1843290.272295557,1585045.9093500003,1470.0
2022-04-25 00:00:00+00:00,AAPL,sell,stop,1470.0,158.08,232.3776,-22943.87759999998,1817191.1317500004,1817191.1317500004,0.0
2022-07-18 00:00:00+00:00,AAPL,buy,signal,1749.0,148.27,259.32423,0.0,1810484.3790641897,1557607.5775200003,1749.0
2022-08-31 00:00:00+00:00,AAPL,sell,stop,1749.0,157.74,275.88726,16287.14274,1833218.9502600003,1833218.9502600003,0.0
2022-09-02 00:00:00+00:00,AAPL,buy,signal,11320.0,157.35,1781.202,0.0,1786595.8593439846,50235.748260000255,11320.0
2022-09-07 00:00:00+00:00,AAPL,sell,stop,11320.0,152.34,1724.4888,-58437.688799999894,1773000.0594600004,1773000.0594600004,0.0
2022-11-22 00:00:00+00:00,AAPL,buy,signal,2638.0,146.14,385.51732,0.0,1777762.4564844829,1387097.2221400004,2638.0
2022-12-16 00:00:00+00:00,AAPL,sell,stop,2638.0,134.72,355.39136,-30481.351359999968,1742133.1907800003,1742133.1907800003,0.0
2023-01-30 00:00:00+00:00,AAPL,buy,signal,1623.0,143.02,232.12146,0.0,1738640.9106658255,1509779.6093200003,1623.0
2023-08-07 00:00:00+00:00,AAPL,sell,stop,1623.0,180.03,292.18869,59775.041309999986,1801676.1106300002,1801676.1106300002,0.0
2023-10-18 00:00:00+00:00,AAPL,buy,signal,3818.0,173.96,664.1792800000001,0.0,1801677.5552806642,1136832.6513500002,3818.0
2023-10-27 00:00:00+00:00,AAPL,sell,stop,3818.0,165.21,630.77178,-34038.27178,1766973.6595700001,1766973.6595700001,0.0
2023-11-13 00:00:00+00:00,AAPL,buy,signal,1701.0,184.35,313.57935,0.0,1764786.540431182,1453080.7302200003,1701.0
2024-01-03 00:00:00+00:00,AAPL,sell,stop,1701.0,182.58,310.56858,-3321.338579999969,1763338.7416400001,1763338.7416400001,0.0
2024-01-09 00:00:00+00:00,AAPL,buy,signal,6598.0,182.47,1203.93706,0.0,1769496.1493651564,558197.7445800002,6598.0
2024-02-05 00:00:00+00:00,AAPL,sell,stop,6598.0,186.48,1230.39504,25227.584959999942,1787362.3895400001,1787362.3895400001,0.0
2024-05-07 00:00:00+00:00,AAPL,buy,signal,2042.0,182.23,372.11366,0.0,1784681.768956172,1414876.6158800002,2042.0
2024-08-06 00:00:00+00:00,AAPL,sell,stop,2042.0,204.01,416.58842,44058.17158,1831048.4474600002,1831048.4474600002,0.0
2024-08-07 00:00:00+00:00,AAPL,buy,signal,3279.0,205.81,674.85099,0.0,1839543.5409182424,1155522.6064700002,3279.0
2024-09-17 00:00:00+00:00,AAPL,sell,stop,3279.0,214.64,703.8045599999999,28249.76543999995,1858623.3619100002,1858623.3619100002,0.0
2024-09-24 00:00:00+00:00,AAPL,buy,signal,2975.0,227.7,677.4075,0.0,1853830.6709016995,1180538.4544100002,2975.0
2024-11-04 00:00:00+00:00,AAPL,sell,stop,2975.0,219.86,654.0835,-23978.083499999928,1833967.8709100003,1833967.8709100003,0.0
2024-11-08 00:00:00+00:00,AAPL,buy,signal,4742.0,226.48,1073.96816,0.0,1831363.0216806645,758925.7427500004,4742.0
2025-01-08 00:00:00+00:00,AAPL,sell,stop,4742.0,240.94,1142.53748,67426.78252000004,1900320.6852700005,1900320.6852700005,0.0
2025-01-16 00:00:00+00:00,AAPL,buy,signal,4679.0,236.63,1107.1917700000001,0.0,1856272.3251235357,792021.7235000005,4679.0
2025-01-17 00:00:00+00:00,AAPL,sell,stop,4679.0,231.18,1081.69122,-26582.24121999995,1872631.2522800006,1872631.2522800006,0.0
2025-02-25 00:00:00+00:00,AAPL,buy,signal,1606.0,247.52,397.51712,0.0,1870494.0883960845,1474716.6151600005,1606.0
2025-03-11 00:00:00+00:00,AAPL,sell,stop,1606.0,223.15,358.37890000000004,-39496.59890000001,1832737.1362600005,1832737.1362600005,0.0
2025-05-22 00:00:00+00:00,AAPL,buy,signal,4035.0,200.58,809.3403000000001,0.0,1834154.0229833159,1022587.4959600004,4035.0
2025-08-01 00:00:00+00:00,AAPL,sell,stop,4035.0,210.53,849.48855,39298.761449999954,1871226.5574100004,1871226.5574100004,0.0
