ts,side,reason,qty,price,commission,slip,realized_pnl,equity_after,position_after
2018-05-10 00:00:00+00:00,buy,signal,206185.0,5.72,1179.3781999999999,0.0005,0.0,9998820.6218,206185.0
2018-07-24 00:00:00+00:00,sell,stop,206185.0,6.22,1282.4707,0.0005,101810.0293,10100630.6511,0.0
2018-07-24 00:00:00+00:00,buy,signal,1442946.0,6.22,8975.124119999999,0.0005,0.0,10091655.52698,1442946.0
2018-07-25 00:00:00+00:00,sell,stop,1442946.0,6.13,8845.25898,0.0005,-138710.3989799998,9952945.128,0.0
2018-07-26 00:00:00+00:00,buy,signal,995294.0,6.26,6230.54044,0.0005,0.0,9946714.587560002,995294.0
2018-07-30 00:00:00+00:00,sell,stop,995294.0,5.96,5931.9522400000005,0.0005,-304520.15223999985,9642194.435320001,0.0
2018-08-01 00:00:00+00:00,buy,signal,803515.0,5.86,4708.597900000001,0.0005,0.0,9637485.837420002,803515.0
2018-10-11 00:00:00+00:00,sell,stop,803515.0,5.81,4668.422149999999,0.0005,-44844.172150000566,9592641.66527,0.0
2018-10-12 00:00:00+00:00,buy,signal,391536.0,6.26,2451.01536,0.0005,0.0,9590190.649910001,391536.0
2018-11-05 00:00:00+00:00,sell,stop,391536.0,5.48,2145.6172800000004,0.0005,-307543.69727999973,9282646.952630002,0.0
2019-01-25 00:00:00+00:00,buy,signal,183814.0,5.01,920.90814,0.0005,0.0,9281726.044490002,183814.0
2019-04-23 00:00:00+00:00,sell,stop,183814.0,6.37,1170.89518,0.0005,248816.14482000007,9530542.189310003,0.0
2019-05-16 00:00:00+00:00,buy,signal,101388.0,7.48,758.38224,0.0005,0.0,9529783.807070004,101388.0
2019-06-06 00:00:00+00:00,sell,stop,101388.0,6.06,614.4112799999999,0.0005,-144585.37128000008,9385198.435790004,0.0
2019-09-23 00:00:00+00:00,buy,signal,184023.0,4.64,853.86672,0.0005,0.0,9384344.569070006,184023.0
2019-10-04 00:00:00+00:00,sell,stop,184023.0,4.16,765.5356800000001,0.0005,-89096.57567999992,9295247.993390005,0.0
2019-10-04 00:00:00+00:00,buy,signal,517841.0,4.16,2154.2185600000003,0.0005,0.0,9293093.774830006,517841.0
2019-10-08 00:00:00+00:00,sell,stop,517841.0,3.75,1941.90375,0.0005,-214256.71375000008,9078837.061080005,0.0
2019-10-09 00:00:00+00:00,buy,signal,1815769.0,3.5,6355.1915,0.0005,0.0,9072481.869580004,1815769.0
2019-10-10 00:00:00+00:00,sell,stop,1815769.0,3.54,6427.82226,0.0005,66202.93774000007,9138684.807320006,0.0
2019-10-10 00:00:00+00:00,buy,signal,1305527.0,3.54,4621.56558,0.0005,0.0,9134063.241740007,1305527.0
2019-10-11 00:00:00+00:00,sell,stop,1305527.0,3.41,4451.847070000001,0.0005,-174170.35706999985,8959892.884670006,0.0
2019-11-08 00:00:00+00:00,buy,signal,130801.0,4.78,625.22878,0.0005,0.0,8959267.655890007,130801.0
2019-11-27 00:00:00+00:00,sell,stop,130801.0,3.95,516.66395,0.0005,-109081.49395000002,8850186.161940007,0.0
2019-12-13 00:00:00+00:00,buy,signal,252862.0,4.39,1110.0641799999999,0.0005,0.0,8849076.097760007,252862.0
2020-01-14 00:00:00+00:00,sell,stop,252862.0,4.23,1069.60626,0.0005,-41527.52625999981,8807548.571500007,0.0
2020-01-14 00:00:00+00:00,buy,signal,1100944.0,4.23,4656.99312,0.0005,0.0,8802891.578380007,1100944.0
2020-01-31 00:00:00+00:00,sell,stop,1100944.0,4.07,4480.84208,0.0005,-180631.88208000016,8622259.696300007,0.0
2020-01-31 00:00:00+00:00,buy,signal,1724452.0,4.07,7018.51964,0.0005,0.0,8615241.176660009,1724452.0
2020-02-03 00:00:00+00:00,sell,stop,1724452.0,4.0,6897.808,0.0005,-127609.4480000005,8487631.728660006,0.0
2020-02-04 00:00:00+00:00,buy,signal,808346.0,4.13,3338.46898,0.0005,0.0,8484293.259680007,808346.0
