ts,symbol,side,reason,qty,price,commission,realized_pnl,equity_after,cash_after,pos_after
2018-05-10 00:00:00+00:00,GPRO,buy,signal,21052.0,5.72,120.41743999999998,0.0,996511.261355395,879462.1425600001,21052.0
2018-07-24 00:00:00+00:00,GPRO,sell,stop,21052.0,6.22,130.94343999999998,10395.05656,1010274.6391200001,1010274.6391200001,0.0
2018-07-26 00:00:00+00:00,GPRO,buy,signal,80821.0,6.26,505.93946,0.0,1025124.6742446177,503829.2396600001,80821.0
2018-07-30 00:00:00+00:00,GPRO,sell,stop,80821.0,5.96,481.69316,-24727.993159999984,985040.7065000001,985040.7065000001,0.0
2018-08-01 00:00:00+00:00,GPRO,buy,signal,89549.0,5.86,524.75714,0.0,1007798.6791119303,459758.8093600001,89549.0
2018-10-11 00:00:00+00:00,GPRO,sell,stop,89549.0,5.81,520.27969,-4997.729690000064,979518.21967,979518.21967,0.0
2018-10-12 00:00:00+00:00,GPRO,buy,signal,46643.0,6.26,291.98518,0.0,989021.2547039092,687241.05449,46643.0
2018-11-05 00:00:00+00:00,GPRO,sell,stop,46643.0,5.48,255.60364,-36637.14363999997,942589.09085,942589.09085,0.0
2019-01-25 00:00:00+00:00,GPRO,buy,signal,19637.0,5.01,98.38137,0.0,940919.7461090856,844109.3394800001,19637.0
2019-04-23 00:00:00+00:00,GPRO,sell,stop,19637.0,6.37,125.08769000000001,26581.232310000007,969071.9417900001,969071.9417900001,0.0
2019-05-16 00:00:00+00:00,GPRO,buy,signal,9939.0,7.48,74.34372,0.0,966612.2357951435,894653.8780700001,9939.0
2019-06-06 00:00:00+00:00,GPRO,sell,stop,9939.0,6.06,60.23034,-14173.610340000008,954823.98773,954823.98773,0.0
2019-09-23 00:00:00+00:00,GPRO,buy,signal,18362.0,4.64,85.19968,0.0,957125.8476997727,869539.10805,18362.0
2019-10-04 00:00:00+00:00,GPRO,sell,stop,18362.0,4.16,76.38592,-8890.145919999992,945848.64213,945848.64213,0.0
2019-10-07 00:00:00+00:00,GPRO,buy,signal,111934.0,3.98,445.49732,0.0,914061.6301474291,499905.82481,111934.0
2019-10-08 00:00:00+00:00,GPRO,sell,stop,111934.0,3.75,419.7525,-26164.5725,919238.57231,919238.57231,0.0
2019-10-10 00:00:00+00:00,GPRO,buy,signal,175093.0,3.54,619.82922,0.0,890603.8831278037,298789.52309000003,175093.0
2019-10-11 00:00:00+00:00,GPRO,sell,stop,175093.0,3.41,597.06713,-23359.15712999998,895259.58596,895259.58596,0.0
2019-11-08 00:00:00+00:00,GPRO,buy,signal,17299.0,4.78,82.68922,0.0,893965.9673999045,812487.67674,17299.0
2019-11-27 00:00:00+00:00,GPRO,sell,stop,17299.0,3.95,68.33105,-14426.501050000003,880750.39569,880750.39569,0.0
2019-12-13 00:00:00+00:00,GPRO,buy,signal,26291.0,4.39,115.41748999999999,0.0,881423.7102058441,765217.4882,26291.0
2020-01-14 00:00:00+00:00,GPRO,sell,stop,26291.0,4.23,111.21093,-4317.770929999981,876317.20727,876317.20727,0.0
2020-01-16 00:00:00+00:00,GPRO,buy,signal,103096.0,4.28,441.25088,0.0,878968.8304907996,434625.07639,103096.0
2020-01-31 00:00:00+00:00,GPRO,sell,stop,103096.0,4.07,419.60072,-22069.760719999995,853806.19567,853806.19567,0.0
2020-02-04 00:00:00+00:00,GPRO,buy,signal,100447.0,4.13,414.84611,0.0,855400.2991393725,438545.2395600001,100447.0
2020-02-07 00:00:00+00:00,GPRO,sell,stop,100447.0,3.96,397.77012,-17473.760119999995,835917.58944,835917.58944,0.0
2020-05-01 00:00:00+00:00,GPRO,buy,signal,12665.0,3.41,43.187650000000005,0.0,834481.2511860857,792686.75179,12665.0
2020-08-12 00:00:00+00:00,GPRO,sell,stop,12665.0,4.7,59.5255,16278.3245,852152.72629,852152.72629,0.0
2020-08-13 00:00:00+00:00,GPRO,buy,signal,106519.0,4.77,508.09562999999997,0.0,862296.518469868,343549.0006600001,106519.0
2020-08-26 00:00:00+00:00,GPRO,sell,stop,106519.0,4.64,494.24816,-14341.718159999988,837302.9125000001,837302.9125000001,0.0
2020-10-08 00:00:00+00:00,GPRO,buy,signal,6271.0,6.36,39.88356,0.0,836322.3791792197,797379.46894,6271.0
2021-02-09 00:00:00+00:00,GPRO,sell,stop,6271.0,8.16,51.17136,11236.628639999994,848499.65758,848499.65758,0.0
2021-02-10 00:00:00+00:00,GPRO,buy,signal,51424.0,8.3,426.8192,0.0,840873.4705333202,421253.63837999996,51424.0
2021-02-17 00:00:00+00:00,GPRO,sell,stop,51424.0,7.86,404.19264000000004,-23030.75264000002,825042.08574,825042.08574,0.0
2021-03-15 00:00:00+00:00,GPRO,buy,signal,4423.0,11.37,50.28950999999999,0.0,828884.03623,774702.28623,4423.0
2021-04-21 00:00:00+00:00,GPRO,sell,stop,4423.0,10.78,47.679939999999995,-2657.2499399999992,822334.54629,822334.54629,0.0
2021-04-22 00:00:00+00:00,GPRO,buy,signal,25697.0,11.19,287.54943,0.0,813053.0507810509,534497.5668599999,25697.0
2021-05-06 00:00:00+00:00,GPRO,sell,stop,25697.0,10.46,268.79062,-19027.600619999965,803019.3962399999,803019.3962399999,0.0
2021-05-07 00:00:00+00:00,GPRO,buy,signal,33459.0,11.6,388.1244,0.0,775864.0782217977,414506.87184,33459.0
2021-05-11 00:00:00+00:00,GPRO,sell,stop,33459.0,9.17,306.81903,-81612.18903,721019.0828099999,721019.0828099999,0.0
2021-06-08 00:00:00+00:00,GPRO,buy,signal,6245.0,11.2,69.944,0.0,729629.6897629113,651005.1388099999,6245.0
2021-07-07 00:00:00+00:00,GPRO,sell,stop,6245.0,10.82,67.57090000000001,-2440.670899999994,718508.4679099999,718508.4679099999,0.0
2021-07-08 00:00:00+00:00,GPRO,buy,signal,46355.0,10.23,474.21165,0.0,737503.3385769706,243822.60625999985,46355.0
2021-07-09 00:00:00+00:00,GPRO,sell,stop,46355.0,10.69,495.53495,20827.765049999954,738862.0213099997,738862.0213099997,0.0
2021-07-12 00:00:00+00:00,GPRO,buy,signal,32124.0,10.61,340.83563999999996,0.0,750407.0509647996,397685.5456699998,32124.0
2021-07-16 00:00:00+00:00,GPRO,sell,stop,32124.0,10.32,331.51968,-9647.479679999971,728873.7059899997,728873.7059899997,0.0
2021-11-12 00:00:00+00:00,GPRO,buy,signal,7487.0,10.5,78.6135,0.0,733736.5113475742,650181.5924899997,7487.0
2022-01-19 00:00:00+00:00,GPRO,sell,stop,7487.0,10.0,74.87,-3818.37,724976.7224899997,724976.7224899997,0.0
2022-04-05 00:00:00+00:00,GPRO,buy,signal,9931.0,8.76,86.99556,0.0,722307.6669299997,637894.1669299997,9931.0
2022-05-09 00:00:00+00:00,GPRO,sell,stop,9931.0,7.0,69.517,-17548.076999999997,707341.6499299997,707341.6499299997,0.0
2022-08-02 00:00:00+00:00,GPRO,buy,signal,11740.0,6.37,74.7838,0.0,708206.0638907724,632483.0661299997,11740.0
2022-08-29 00:00:00+00:00,GPRO,sell,stop,11740.0,6.04,70.90960000000001,-3945.1096000000007,703321.7565299997,703321.7565299997,0.0
2022-08-30 00:00:00+00:00,GPRO,buy,signal,97009.0,6.2,601.4558000000001,0.0,688168.969232998,101264.50072999962,97009.0
2022-09-02 00:00:00+00:00,GPRO,sell,stop,97009.0,6.02,583.9941799999999,-18045.61418000006,684674.6865499995,684674.6865499995,0.0
2022-11-17 00:00:00+00:00,GPRO,buy,signal,15047.0,5.32,80.05004000000001,0.0,687453.5699539845,604544.5965099995,15047.0
2022-12-16 00:00:00+00:00,GPRO,sell,stop,15047.0,5.0,75.235,-4890.275000000004,679704.3615099995,679704.3615099995,0.0
2023-01-17 00:00:00+00:00,GPRO,buy,signal,15807.0,5.6,88.5192,0.0,679457.7747219563,591096.6423099996,15807.0
