ts,side,reason,qty,price,commission,slip,realized_pnl,equity_after,position_after
2018-03-15 00:00:00+00:00,buy,signal,40813.0,54.54,2225.94102,0.0005,0.0,9997774.05898,40813.0
2018-03-28 00:00:00+00:00,sell,stop,40813.0,52.22,2131.25486,0.0005,-96817.41486000002,9900956.64412,0.0
2018-04-05 00:00:00+00:00,buy,signal,96951.0,53.11,5149.06761,0.0005,0.0,9895807.576510001,96951.0
2018-06-27 00:00:00+00:00,sell,stop,96951.0,57.94,5617.34094,0.0005,462655.9890599998,10358463.56557,0.0
2018-06-27 00:00:00+00:00,buy,signal,89899.0,58.0,5214.142,0.0005,0.0,10353249.42357,89899.0
2018-06-28 00:00:00+00:00,sell,stop,89899.0,56.26,5057.71774,0.0005,-161481.97774000018,10191767.44583,0.0
2018-06-29 00:00:00+00:00,buy,signal,77251.0,58.25,4499.87075,0.0005,0.0,10187267.57508,77251.0
2018-09-25 00:00:00+00:00,sell,stop,77251.0,53.57,4138.33607,0.0005,-365673.01607,9821594.55901,0.0
2018-12-04 00:00:00+00:00,buy,signal,48152.0,53.3,2566.5016,0.0005,0.0,9819028.05741,48152.0
2018-12-24 00:00:00+00:00,sell,stop,48152.0,46.58,2242.92016,0.0005,-325824.3601599999,9493203.697250001,0.0
2019-01-18 00:00:00+00:00,buy,signal,36066.0,51.53,1858.48098,0.0005,0.0,9491345.216270002,36066.0
2019-03-25 00:00:00+00:00,sell,stop,36066.0,48.62,1753.52892,0.0005,-106705.58892000013,9384639.62735,0.0
2019-04-15 00:00:00+00:00,buy,signal,46912.0,51.63,2422.06656,0.0005,0.0,9382217.56079,46912.0
2019-04-25 00:00:00+00:00,sell,stop,46912.0,48.79,2288.83648,0.0005,-135518.91648000016,9246698.64431,0.0
2019-04-25 00:00:00+00:00,buy,signal,152726.0,48.84,7459.137840000001,0.0005,0.0,9239239.506469999,152726.0
2019-05-14 00:00:00+00:00,sell,stop,152726.0,47.37,7234.630619999999,0.0005,-231741.8506200009,9007497.655849997,0.0
2019-07-01 00:00:00+00:00,buy,signal,52796.0,47.75,2521.009,0.0005,0.0,9004976.646849997,52796.0
2019-12-04 00:00:00+00:00,sell,stop,52796.0,57.84,3053.72064,0.0005,529657.9193600002,9534634.566209998,0.0
2019-12-05 00:00:00+00:00,buy,signal,115644.0,58.67,6784.83348,0.0005,0.0,9527849.732729997,115644.0
2020-02-26 00:00:00+00:00,sell,stop,115644.0,59.65,6898.1646,0.0005,106432.95539999963,9634282.688129999,0.0
2020-05-05 00:00:00+00:00,buy,signal,20307.0,49.39,1002.96273,0.0005,0.0,9633279.725399999,20307.0
2020-06-29 00:00:00+00:00,sell,stop,20307.0,47.58,966.20706,0.0005,-37721.87706000005,9595557.84834,0.0
2020-06-30 00:00:00+00:00,buy,signal,129831.0,48.65,6316.278149999999,0.0005,0.0,9589241.57019,129831.0
2020-07-15 00:00:00+00:00,sell,stop,129831.0,49.2,6387.6852,0.0005,65019.364800000556,9654260.93499,0.0
2020-07-24 00:00:00+00:00,buy,signal,57575.0,50.44,2904.083,0.0005,0.0,9651356.85199,57575.0
2020-09-04 00:00:00+00:00,sell,stop,57575.0,49.65,2858.59875,0.0005,-48342.84874999995,9603014.00324,0.0
2020-10-14 00:00:00+00:00,buy,signal,23781.0,50.47,1200.2270700000001,0.0005,0.0,9601813.77617,23781.0
2020-12-22 00:00:00+00:00,sell,stop,23781.0,53.9,1281.7958999999998,0.0005,80287.03409999999,9682100.81027,0.0
2020-12-28 00:00:00+00:00,buy,signal,169512.0,54.12,9173.98944,0.0005,0.0,9672926.82083,169512.0
2021-01-05 00:00:00+00:00,sell,stop,169512.0,52.52,8902.77024,0.0005,-280121.970239999,9392804.850590002,0.0
2021-01-07 00:00:00+00:00,buy,signal,57070.0,55.84,3186.7888000000003,0.0005,0.0,9389618.061790003,57070.0
