ts,symbol,side,reason,qty,price,commission,realized_pnl,equity_after,cash_after,pos_after
2018-04-13 00:00:00+00:00,KO,buy,signal,14190.0,35.01,248.39595,0.0,1003043.8005389527,502959.70405000006,14190.0
2018-04-26 00:00:00+00:00,KO,sell,stop,14190.0,33.55,238.03724999999997,-20955.437250000014,978796.1668,978796.1668,0.0
2018-04-30 00:00:00+00:00,KO,buy,signal,17659.0,34.46,304.26457,0.0,974125.0316811414,369962.76223,17659.0
2018-05-04 00:00:00+00:00,KO,sell,stop,17659.0,33.07,291.991565,-24838.00156500001,953653.900665,953653.900665,0.0
2018-06-11 00:00:00+00:00,KO,buy,signal,9635.0,34.82,167.74535,0.0,954653.2214473546,617995.4553149999,9635.0
2018-08-27 00:00:00+00:00,KO,sell,stop,9635.0,36.77,177.139475,18611.11052500003,972097.26584,972097.26584,0.0
2018-09-17 00:00:00+00:00,KO,buy,signal,12222.0,37.08,226.59588,0.0,974761.0528585596,518678.9099600001,12222.0
2018-10-12 00:00:00+00:00,KO,sell,stop,12222.0,35.82,218.89602,-15618.616019999976,956252.05394,956252.05394,0.0
2018-10-26 00:00:00+00:00,KO,buy,signal,10504.0,37.38,196.31976,0.0,952003.7892532422,563416.21418,10504.0
2018-12-18 00:00:00+00:00,KO,sell,stop,10504.0,39.45,207.19140000000002,21536.088600000003,977591.82278,977591.82278,0.0
2019-02-06 00:00:00+00:00,KO,buy,signal,8246.0,39.98,164.83754,0.0,977582.4369859108,647751.9052400001,8246.0
2019-02-15 00:00:00+00:00,KO,sell,stop,8246.0,37.25,153.58175,-22665.161749999974,954761.8234900001,954761.8234900001,0.0
2019-04-04 00:00:00+00:00,KO,buy,signal,11918.0,37.98,226.32281999999998,0.0,955619.7102412281,501889.86067000014,11918.0
2019-10-03 00:00:00+00:00,KO,sell,stop,11918.0,44.46,264.93714,76963.70286000005,1031499.20353,1031499.20353,0.0
2019-10-07 00:00:00+00:00,KO,buy,signal,14424.0,45.2,325.98240000000004,0.0,1025310.7859981641,379208.42113000003,14424.0
2019-11-05 00:00:00+00:00,KO,sell,stop,14424.0,43.96,317.03952000000004,-18202.799520000026,1012970.4216100001,1012970.4216100001,0.0
2019-12-05 00:00:00+00:00,KO,buy,signal,7820.0,45.44,177.6704,0.0,1012450.4901809474,657451.9512100001,7820.0
2020-02-28 00:00:00+00:00,KO,sell,stop,7820.0,45.07,176.2237,-3069.62369999998,1009723.1275100001,1009723.1275100001,0.0
2020-03-02 00:00:00+00:00,KO,buy,signal,12621.0,45.2,285.23460000000006,0.0,1030205.6159141505,438968.6929100001,12621.0
2020-03-10 00:00:00+00:00,KO,sell,stop,12621.0,44.56,281.19588,-8358.635880000007,1001079.2570300001,1001079.2570300001,0.0
2020-05-29 00:00:00+00:00,KO,buy,signal,6090.0,39.47,120.18615,0.0,1000824.4285032911,760586.7708800001,6090.0
2020-06-26 00:00:00+00:00,KO,sell,stop,6090.0,38.29,116.59305,-7302.793049999998,993656.27783,993656.27783,0.0
2020-07-22 00:00:00+00:00,KO,buy,signal,6315.0,40.89,129.110175,0.0,996376.530999574,735306.817655,6315.0
2020-10-29 00:00:00+00:00,KO,sell,stop,6315.0,41.01,129.489075,628.3109249999839,994155.47858,994155.47858,0.0
2020-11-12 00:00:00+00:00,KO,buy,signal,3683.0,45.63,84.027645,0.0,993850.7227025782,826016.160935,3683.0
2021-01-07 00:00:00+00:00,KO,sell,stop,3683.0,43.38,79.88427,-8366.63427,985704.816665,985704.816665,0.0
