ts,symbol,side,reason,qty,price,commission,realized_pnl,equity_after,cash_after,pos_after
2018-03-15 00:00:00+00:00,AAPL,buy,signal,5460.0,42.04,114.7692,0.0,999938.0562333496,770346.8308,5460.0
2018-03-23 00:00:00+00:00,AAPL,sell,stop,5460.0,39.61,108.1353,-13375.9353,986509.2955,986509.2955,0.0
2018-03-27 00:00:00+00:00,AAPL,buy,signal,10705.0,40.9,218.91725,0.0,972619.7374838563,548455.8782500001,10705.0
2018-04-03 00:00:00+00:00,AAPL,sell,stop,10705.0,39.44,211.10259999999997,-15840.402600000009,970449.97565,970449.97565,0.0
2018-04-16 00:00:00+00:00,AAPL,buy,signal,8037.0,41.22,165.64257,0.0,971598.9888868848,638999.19308,8037.0
2018-04-24 00:00:00+00:00,AAPL,sell,stop,8037.0,38.98,156.64112999999998,-18159.521130000016,952124.81195,952124.81195,0.0
2018-05-09 00:00:00+00:00,AAPL,buy,signal,3182.0,43.93,69.89263000000001,0.0,952595.1747161181,812269.65932,3182.0
2018-06-20 00:00:00+00:00,AAPL,sell,stop,3182.0,44.01,70.01991000000001,184.54008999999456,952239.45941,952239.45941,0.0
2018-06-29 00:00:00+00:00,AAPL,buy,signal,16897.0,44.04,372.07194,0.0,946768.0855263354,207723.50746999995,16897.0
2018-10-12 00:00:00+00:00,AAPL,sell,stop,16897.0,52.24,441.34964,138114.05036000005,1089981.43783,1089981.43783,0.0
2018-10-15 00:00:00+00:00,AAPL,buy,signal,9391.0,52.47,246.372885,0.0,1080986.7199518664,596989.294945,9391.0
2018-10-30 00:00:00+00:00,AAPL,sell,stop,9391.0,50.04,234.96282000000002,-23055.092819999998,1066679.9721249999,1066679.9721249999,0.0
2019-02-07 00:00:00+00:00,AAPL,buy,signal,3583.0,41.04,73.52316,0.0,1065292.0905624423,919560.1289649998,3583.0
2019-05-13 00:00:00+00:00,AAPL,sell,stop,3583.0,45.01,80.635415,14143.874584999996,1080750.3235499999,1080750.3235499999,0.0
2019-05-15 00:00:00+00:00,AAPL,buy,signal,15509.0,44.7,346.62615000000005,0.0,1097427.7333107968,387151.3973999998,15509.0
2019-05-21 00:00:00+00:00,AAPL,sell,stop,15509.0,44.41,344.377345,-4841.987345000097,1075561.7100549997,1075561.7100549997,0.0
2019-06-21 00:00:00+00:00,AAPL,buy,signal,3072.0,47.71,73.28256,0.0,1075405.8895262498,928923.3074949997,3072.0
2019-08-06 00:00:00+00:00,AAPL,sell,stop,3072.0,47.07,72.29952,-2038.3795200000018,1073450.0479749998,1073450.0479749998,0.0
2019-08-07 00:00:00+00:00,AAPL,buy,signal,20249.0,46.9,474.83905,0.0,1090095.7884789854,123297.10892499983,20249.0
2020-02-25 00:00:00+00:00,AAPL,sell,stop,20249.0,72.82,737.26609,524116.81390999985,1597092.0228349997,1597092.0228349997,0.0
2020-02-27 00:00:00+00:00,AAPL,buy,signal,20237.0,68.08,688.86748,0.0,1558670.8031964914,218668.19535499974,20237.0
2020-02-28 00:00:00+00:00,AAPL,sell,stop,20237.0,62.25,629.876625,-118611.58662499997,1477791.5687299997,1477791.5687299997,0.0
2020-04-23 00:00:00+00:00,AAPL,buy,signal,3114.0,66.82,104.03873999999999,0.0,1476943.4067710056,1269610.0499899997,3114.0
2020-09-14 00:00:00+00:00,AAPL,sell,stop,3114.0,111.53,173.65221,139053.28779000003,1616740.8177799997,1616740.8177799997,0.0
2020-09-15 00:00:00+00:00,AAPL,buy,signal,6201.0,115.16,357.05358,0.0,1599193.365171069,902276.6041999997,6201.0
2020-09-18 00:00:00+00:00,AAPL,sell,stop,6201.0,107.33,332.776665,-48886.60666500007,1567497.1575349998,1567497.1575349998,0.0
2020-09-22 00:00:00+00:00,AAPL,buy,signal,4617.0,109.66,253.15010999999998,0.0,1563086.7094678464,1060943.7874249998,4617.0
2020-10-29 00:00:00+00:00,AAPL,sell,stop,4617.0,109.25,252.20362500000002,-2145.1736249999844,1565098.8337999997,1565098.8337999997,0.0
2020-11-13 00:00:00+00:00,AAPL,buy,signal,2660.0,116.44,154.8652,0.0,1564322.810543359,1255213.5685999996,2660.0
2021-02-19 00:00:00+00:00,AAPL,sell,stop,2660.0,127.03,168.94989999999999,28000.450100000045,1592944.4186999996,1592944.4186999996,0.0
2021-04-14 00:00:00+00:00,AAPL,buy,signal,2096.0,131.75,138.074,0.0,1586710.655002734,1316658.3446999996,2096.0
2021-05-12 00:00:00+00:00,AAPL,sell,stop,2096.0,120.56,126.34688000000001,-23580.586879999995,1569225.7578199995,1569225.7578199995,0.0
2021-05-14 00:00:00+00:00,AAPL,buy,signal,11803.0,123.47,728.658205,0.0,1581640.7746064547,111180.68961499957,11803.0
2021-09-21 00:00:00+00:00,AAPL,sell,stop,11803.0,140.83,831.1082450000001,204068.97175500015,1772566.0713699998,1772566.0713699998,0.0
2021-10-28 00:00:00+00:00,AAPL,buy,signal,3422.0,146.74,251.07214000000002,0.0,1781287.7426369821,1270170.7192299997,3422.0
2022-01-20 00:00:00+00:00,AAPL,sell,stop,3422.0,163.63,279.97093,57517.60906999995,1829832.6082999997,1829832.6082999997,0.0
2022-01-25 00:00:00+00:00,AAPL,buy,signal,5394.0,155.94,420.57018,0.0,1833235.1607249803,988271.6781199997,5394.0
2022-02-25 00:00:00+00:00,AAPL,sell,stop,5394.0,160.75,433.54275,25511.597250000013,1854923.6353699998,1854923.6353699998,0.0
2022-03-29 00:00:00+00:00,AAPL,buy,signal,1482.0,173.53,128.58573,0.0,1857976.0698340917,1597623.58964,1482.0
2022-04-25 00:00:00+00:00,AAPL,sell,stop,1482.0,158.08,117.13728000000002,-23014.037279999982,1831781.01236,1831781.01236,0.0
2022-07-18 00:00:00+00:00,AAPL,buy,signal,1763.0,148.27,130.700005,0.0,1825151.382585713,1570250.302355,1763.0
2022-08-31 00:00:00+00:00,AAPL,sell,stop,1763.0,157.74,139.04781,16556.562189999997,1848206.874545,1848206.874545,0.0
2022-09-02 00:00:00+00:00,AAPL,buy,signal,11412.0,157.35,897.8391,0.0,1802102.5330158009,51630.83544500009,11412.0
2022-09-07 00:00:00+00:00,AAPL,sell,stop,11412.0,152.34,869.2520400000001,-58043.37203999989,1789265.6634050002,1789265.6634050002,0.0
2022-11-22 00:00:00+00:00,AAPL,buy,signal,2662.0,146.14,194.51233999999997,0.0,1794265.900111631,1400046.4710650002,2662.0
2022-12-16 00:00:00+00:00,AAPL,sell,stop,2662.0,134.72,179.31232,-30579.35231999997,1758491.7987450003,1758491.7987450003,0.0
2023-01-30 00:00:00+00:00,AAPL,buy,signal,1639.0,143.02,117.20489000000002,0.0,1755082.3706482132,1523964.8138550003,1639.0
2023-08-07 00:00:00+00:00,AAPL,sell,stop,1639.0,180.03,147.534585,60511.85541499998,1818886.4492700002,1818886.4492700002,0.0
2023-10-18 00:00:00+00:00,AAPL,buy,signal,3854.0,173.96,335.22092000000004,0.0,1819223.1872696779,1148109.3883500001,3854.0
2023-10-27 00:00:00+00:00,AAPL,sell,stop,3854.0,165.21,318.35967000000005,-34040.85967,1784510.3686800003,1784510.3686800003,0.0
2023-11-13 00:00:00+00:00,AAPL,buy,signal,1718.0,184.35,158.35665,0.0,1782459.6954284378,1467638.7120300003,1718.0
2024-01-03 00:00:00+00:00,AAPL,sell,stop,1718.0,182.58,156.83622,-3197.696219999969,1781154.3158100003,1781154.3158100003,0.0
2024-01-09 00:00:00+00:00,AAPL,buy,signal,6665.0,182.47,608.081275,0.0,1787982.4324750637,564383.6845350002,6665.0
2024-02-05 00:00:00+00:00,AAPL,sell,stop,6665.0,186.48,621.4446,26105.20539999994,1806651.4399350001,1806651.4399350001,0.0
2024-05-07 00:00:00+00:00,AAPL,buy,signal,2064.0,182.23,188.06135999999998,0.0,1804130.0318660159,1430340.6585750002,2064.0
2024-08-06 00:00:00+00:00,AAPL,sell,stop,2064.0,204.01,210.53831999999997,44743.381680000006,1851206.760255,1851206.760255,0.0
2024-08-07 00:00:00+00:00,AAPL,buy,signal,3316.0,205.81,341.23298,0.0,1860138.894118262,1168399.5672750003,3316.0
2024-09-17 00:00:00+00:00,AAPL,sell,stop,3316.0,214.64,355.87312000000003,28924.406879999948,1879789.9341550004,1879789.9341550004,0.0
